timestamp_ns,device,channel,sensor_type,differential,voltage
1765400101795207936,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101795215104,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795220992,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101795227904,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795234048,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101795240960,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795248128,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795254016,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795260928,T7,AIN2,Voltage,true,-0.01138623058795929
1765400101795268096,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795275008,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101795280896,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101795287040,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101795293952,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101795300096,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101795307008,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795312896,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101795320064,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101795326976,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101795333120,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101795340032,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795345920,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795353088,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101795360000,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101795366912,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101795374080,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101795379968,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795386880,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795394048,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795399936,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795406080,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101795412992,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795418880,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101795426048,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101795432960,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101795439104,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101795446016,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101795452928,T7,AIN2,Voltage,true,-0.01138623058795929
1765400101795459072,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795465984,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101795471872,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101795479040,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101795484928,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101795492096,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101795499008,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795505920,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101795683072,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795696128,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101795703040,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101795709952,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795717120,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795723008,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101795729920,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795737088,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101795742976,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795749888,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101795756032,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101795762944,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795770112,T7,AIN2,Voltage,true,-0.011070836335420609
1765400101795776000,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101795782912,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101795790080,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101795795968,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101795802880,T7,AIN2,Voltage,true,-0.012017019093036652
