Timestamp,AIN68,AIN65,AIN67,AIN63,AIN64,AIN66,Total_Weight,TC_1,TC_2,TC_3
13:35:43:236,1163.9950275421143,2123.1094392108917,2300.8332781600952,2999.7649247741697,2741.619341993332,2746.755275840759,1931.1592167599417,-389.65877819863755,-357.0416037462397,-216.37055561458186
13:35:43:351,1165.4735803604126,2125.3642810058595,2298.7975387382508,2998.9191934013365,2743.842748184204,2754.208733320236,1925.2474940129518,-389.65877819863755,-356.1954403992396,-216.353280716582
13:35:43:466,1176.198124885559,2137.985107936859,2316.6796631908414,3030.5180353927612,2762.9461269187927,2768.8963565349577,1872.202506282769,-389.67196179238755,-354.2157754047905,-204.1436664505993
13:35:43:584,1183.5711002349854,2149.384491214752,2325.417056789398,3045.237094211578,2773.186748380661,2777.884288110733,1825.461580984058,-389.65877819863755,-350.3965944611735,-200.5282270850495
13:35:43:700,1183.3937168121338,2153.4870269203184,2326.4192086982725,3042.449930229187,2777.0387461090086,2780.85949760437,1831.328757461632,-389.6553027753713,-352.24089937024,-207.10415722178246
13:35:43:810,1180.0422668457031,2151.232185125351,2325.6675947666167,3033.4305630493163,2774.971760454178,2777.6337501335142,1856.1882543776264,-389.65877819863755,-354.44092407244,-212.11207859911565
13:35:43:924,1187.3562335968018,2156.368118972778,2333.1835447120666,3052.4400137138364,2783.333441772461,2787.216685733795,1838.4441795217706,-389.65877819863755,-352.6104390817735,-203.0252778145162
13:35:44:037,1183.650016784668,2152.4848750114443,2326.700992908478,3042.8881349754333,2778.9491218566895,2783.082903795242,1852.2738697075752,-389.65877819863755,-352.66915329130677,-206.0334815317828
13:35:44:153,1188.9333724975586,2161.78602640152,2336.1587542057036,3058.0143416786195,2786.8409734535217,2792.4153014183044,1823.5623476207172,-389.65877819863755,-352.04055144077387,-202.12731021718278
13:35:44:270,1191.2990808486938,2163.4771104049682,2337.348762254715,3057.6071937942506,2789.6593836688994,2794.2629953289033,1819.148598742715,-389.65877819863755,-352.07166670083996,-202.01679175731607
13:35:44:383,1184.6554279327393,2156.7438312530517,2331.0540665912627,3040.570990085602,2782.4252179336545,2787.0600758266446,1843.3483200179126,-389.65877819863755,-352.36523774850656,-210.12963583704897
13:35:44:490,1184.004783630371,2159.6563589096068,2335.5323145771026,3045.2056586074827,2785.275063753128,2790.2545770645143,1844.1508522016034,-389.64564953652814,-350.94987801679747,-209.45337597207322
13:35:44:605,1182.6446056365967,2156.5247288799287,2332.9644423389436,3040.2888271331785,2783.02022195816,2787.4359774780273,1857.7576395055235,-389.64564953652814,-354.00988598439744,-213.33538287313968
13:35:44:727,1193.014144897461,2164.917656431198,2342.547377939224,3066.00012134552,2794.6074613761903,2800.4325166893004,1816.2060906940567,-389.65877819863755,-350.59346696737333,-196.7014589702501
13:35:44:842,1192.2650337219238,2170.7425223731993,2343.1736281967164,3058.9225655174255,2796.8310569381715,2799.994122571945,1808.7875270481481,-389.65877819863755,-349.9925049536402,-202.52794474511606
13:35:44:958,1204.0539979934692,2181.5783372306823,2357.7048308753965,3086.29350812912,2809.7022324752807,2814.149234228134,1766.1214770222446,-389.64564953652814,-349.25407589953113,-193.64905221814055
