time,supply_pressure,supply_temperature,run_pressure,run_temperature,current_mass,full_fill_time
0.0,1010.731438,70.98174133,33.78909672,90.55303419,1.2065010699999945,205.0
0.10800000000017462,1010.232322,71.14406723,33.52288829,90.60152529,0.8336103799999961,204.89199999999983
0.2150000000037835,1011.030947,71.0439086,34.05529257,90.86129529,1.4587904199999997,204.78499999999622
0.3230000000039581,1011.230654,71.0024637,33.72254461,90.46644504,1.4474043899999955,204.67699999999604
0.43100000000413274,1010.332125,70.90575893,34.321501,90.4595172,1.485236889999996,204.56899999999587
0.533000000003085,1011.297156,71.09916863,33.52288829,90.7573878,0.6258813199999977,204.46699999999691
0.6410000000032596,1010.465229,71.20968852,33.92220093,90.66733345,0.6881443300000001,204.35899999999674
0.7479999999995925,1009.167488,71.32642952,33.78909672,90.80168795,1.160241109999994,204.2520000000004
0.853000000002794,1009.234091,70.8884901,33.22340381,90.67079738,1.0184387299999997,204.1469999999972
0.9599999999991269,1010.16582,71.06808483,34.321501,90.66386953,0.8402594199999953,204.04000000000087
1.0679999999993015,1009.86631,71.20968852,33.88892488,90.86822314,1.2429324299999962,203.9320000000007
1.1759999999994761,1009.666604,71.0439086,33.82237277,90.69504229,1.1693629599999937,203.82400000000052
1.2839999999996508,1009.300592,70.82632267,33.82237277,90.75392388,0.6715334999999953,203.71600000000035
1.3919999999998254,1011.13075,70.99900999,34.05529257,90.45259063,1.77069307,203.60800000000017
1.5,1010.664936,70.81182139,33.52288829,90.62158052,1.2599531299999995,203.5
1.6070000000036089,1010.465229,71.19932726,33.98875304,90.69504229,0.18871167999999727,203.3929999999964
1.7150000000037835,1011.663167,71.30639329,34.02202909,90.85783137,1.1361107799999957,203.28499999999622
1.8190000000031432,1010.065916,71.16824346,33.55616434,90.99983946,1.4929039999999958,203.18099999999686
1.9270000000033178,1010.931144,71.09571493,33.98875304,90.76085045,0.9115181099999958,203.07299999999668
2.033000000003085,1010.731438,70.9610188,33.95547699,90.74699603,0.7517829199999966,202.96699999999691
2.139999999999418,1010.664936,70.7924167,33.42306013,90.59180562,1.2505013999999974,202.86000000000058
2.2479999999995925,1010.16582,71.24699326,34.48788127,90.80168795,1.322318409999994,202.7520000000004
2.355999999999767,1009.799708,70.809054,33.75582067,90.72275112,0.8306559499999935,202.64400000000023
2.463999999999942,1010.531832,70.9644725,33.5894404,90.60845186,0.795014639999998,202.53600000000006
2.569000000003143,1010.764739,71.05772373,33.95547699,90.93056738,1.6081844599999968,202.43099999999686
2.6779999999998836,1009.666604,71.18551229,33.82237277,90.65694296,0.3562723199999951,202.32200000000012
2.7850000000034925,857.4633932,70.91957389,38.98009821,90.74353339,14.021606820000002,202.2149999999965
2.893000000003667,671.1526048,70.83668393,64.53588106,90.67079738,3.219394610000009,202.10699999999633
3.0010000000038417,489.7332705,71.09571493,91.8885205,90.85436872,8.263123809999996,201.99899999999616
3.1090000000040163,440.8179243,70.94029626,117.7105118,90.83358646,0.2155321299999997,201.89099999999598
3.217000000004191,371.8705951,71.0652625,129.2904527,90.83425728,1.852021410000006,201.7829999999958
3.3249999999970896,359.9246176,70.82632267,140.7373146,90.72621505,0.5117479999999972,201.6750000000029
3.4320000000006985,379.0914233,70.99900999,150.7865822,90.7088967,0.35695373000000075,201.5679999999993
3.5389999999970314,374.5326291,71.08253133,160.6694695,90.90352937,0.6141410899999968,201.46100000000297
3.646999999997206,365.1156317,71.10952989,174.0795933,90.70197014,0.7350797199999946,201.3530000000028
3.754000000000815,357.4621896,70.99555629,184.0290579,90.82665989,1.4378660599999975,201.24599999999919
3.860999999997148,349.1099756,70.82286896,195.1098581,90.75045996,0.9901008499999975,201.13900000000285
3.9680000000007567,343.0537841,71.26840209,204.7931142,90.83705038,0.8741070299999976,201.03199999999924
4.076000000000931,338.7944996,70.9927338,214.1435847,90.82386679,0.9431514399999941,200.92399999999907
4.182999999997264,337.696415,71.07085239,225.1245818,90.69431653,1.728371799999998,200.81700000000274
4.290000000000873,338.0291755,70.9610188,234.8743649,91.01369388,1.1990351899999965,200.70999999999913
4.398000000001048,339.5265728,70.95411123,244.1250324,90.75045996,0.9562985899999958,200.60199999999895
4.504999999997381,344.1186179,70.89194396,254.7732438,90.78855928,1.60685754,200.49500000000262
4.612999999997555,347.4794741,70.88158269,264.5563533,90.73314162,0.6219574599999973,200.38700000000244
4.722000000001572,351.5058515,71.09226106,275.5373001,90.78163271,1.8449593899999996,200.27799999999843
4.828000000001339,356.7634176,70.82632267,286.4184941,90.85436872,0.8786329099999932,200.17199999999866
4.936000000001513,363.0192151,71.28567076,295.7689898,90.99637554,0.5468301699999998,200.0639999999985
5.044000000001688,369.1087078,70.9644725,307.2491025,90.90978511,0.7779271399999956,199.9559999999983
5.150999999998021,376.8619528,70.92020527,317.2983701,90.68532262,0.7864890299999985,199.84900000000198
5.256999999997788,383.8831247,70.79109902,328.3459193,90.73241586,0.7421093499999998,199.7430000000022
5.364999999997963,391.170505,70.83323023,337.8960713,90.61191579,0.5284907899999993,199.63500000000204
5.47099999999773,397.8256654,71.33056953,347.9120377,90.91324904,0.6006376699999976,199.52900000000227
5.576999999997497,406.0447752,71.02663993,355.9314912,91.12799314,1.2986276299999986,199.4230000000025
5.684000000001106,412.6333836,71.02940733,366.8126852,90.94023212,0.5928427299999939,199.3159999999989
5.783999999999651,417.4583359,71.07153869,374.7988375,90.98252112,0.23561654999999604,199.21600000000035
5.89100000000326,427.0417387,70.95411123,382.7850401,90.95481229,0.7890587599999961,199.10899999999674
